id,name,price,currency,category
1,Muffin Mix - Oatmeal,99,Dollar,Kids
2,Spring Roll Veg Mini,45,Dollar,Home
3,Saskatoon Berries - Frozen,91,Dong,Music
4,"Chicken - Leg, Boneless",100,Afghani,Home
5,Tomato - Plum With Basil,85,Euro,Outdoors
6,"Beef - Ox Tail, Frozen",12,Euro,Kids
7,Salt And Pepper Mix - Black,31,Ruble,Music
8,Cheese - Mozzarella,58,Euro,Kids
9,Bread - Italian Corn Meal Poly,60,Sol,Baby
10,Bread - Triangle White,81,Euro,Kids
11,"Capon - Breast, Double, Wing On",27,Rupiah,Computers
12,Yoplait Drink,15,Ruble,Kids
13,Veal - Provimi Inside,65,Franc,Shoes
14,Sugar - Crumb,98,Dalasi,Grocery
15,Pecan Raisin - Tarts,19,Dinar,Grocery
16,Bread - Pain Au Liat X12,70,Baht,Music
17,Dr. Pepper - 355ml,65,Yuan Renminbi,Sports
18,Muffin Chocolate Individual Wrap,61,Yuan Renminbi,Outdoors
19,"Lobster - Tail, 3 - 4 Oz",27,Ruble,Home
20,Muffin Mix - Blueberry,72,Yuan Renminbi,Toys
21,Lamb - Loin Chops,77,Ringgit,Shoes
22,Soup Knorr Chili With Beans,22,Boliviano,Sports
23,"Wine - Cahors Ac 2000, Clos",77,Shekel,Health
24,Veal - Leg,40,Euro,Industrial
25,Bagelers - Cinn / Brown Sugar,23,Yuan Renminbi,Shoes
26,Straws - Cocktale,94,Yen,Books
27,Gelatine Powder,22,Zloty,Baby
28,Pastry - Banana Tea Loaf,12,Ruble,Health
29,"Veal - Insides, Grains",50,Real,Garden
30,Horseradish Root,75,Dollar,Beauty
31,Chicken Giblets,40,Ruble,Computers
32,Trueblue - Blueberry 12x473ml,13,Yuan Renminbi,Industrial
33,Bread - 10 Grain,40,Peso,Baby
34,Energy Drink Bawls,73,Peso,Games
35,"Soup - Knorr, Veg / Beef",93,Rupiah,Shoes
36,"Vodka - Hot, Lnferno",39,Real,Electronics
37,Savory,23,Boliviano,Automotive
38,Samosa - Veg,94,Rupiah,Tools
39,Rice Paper,78,Euro,Baby
40,Water - Evian 355 Ml,95,Euro,Jewelry
41,Rolled Oats,74,Rial,Garden
42,"Shrimp - 16/20, Iqf, Shell On",99,Yuan Renminbi,Sports
43,Wine - Cave Springs Dry Riesling,44,Yuan Renminbi,Jewelry
44,Wine - Vineland Estate Semi - Dry,100,Tugrik,Clothing
45,Swiss Chard,48,Real,Music
46,Ice Cream - Turtles Stick Bar,80,Birr,Baby
47,Crackers - Trio,86,Lempira,Jewelry
48,Ham - Virginia,76,Dollar,Sports
49,Muffin Carrot - Individual,62,Euro,Beauty
50,Buffalo - Striploin,93,Dollar,Kids
51,Trueblue - Blueberry Cranberry,95,Peso,Shoes
52,Coffee - Flavoured,73,Euro,Computers
53,Shrimp - 100 / 200 Cold Water,64,Dollar,Outdoors
54,Wasabi Paste,65,Peso,Clothing
55,"Soup - Campbells, Creamy",21,Litas,Sports
56,Wine - Fume Blanc Fetzer,75,Dollar,Industrial
57,"Cherries - Maraschino,jar",71,Yuan Renminbi,Grocery
58,Bread - 10 Grain Parisian,47,Real,Clothing
59,Extract - Almond,83,Dong,Books
60,"Bread - Rolls, Rye",17,Rupiah,Computers
61,Eggplant Oriental,98,Lek,Games
62,"Beef - Roasted, Cooked",80,Franc,Garden
63,Wine - Crozes Hermitage E.,37,Peso,Health
64,"Juice - Apple, 1.36l",23,Peso,Grocery
65,"Liqueur Banana, Ramazzotti",68,Peso,Jewelry
